,W,"(0, 1)","(1, 0)"
0.0,73.25,96.25,96.5
6.94428369713664e-05,73.25,96.25,96.5
0.0001388856739427328,73.25,96.25,96.5
0.0002083285109140992,73.25,96.25,96.5
0.0002777713478854656,73.25,96.25,96.5
0.00034721418485683203,73.25,96.25,96.5
0.0004166570218281984,73.25,96.25,96.5
0.0004860998587995648,73.25,96.25,96.5
0.0005555426957709312,73.25,96.25,96.5
0.0006249855327422976,73.25,96.25,96.5
0.0006944283697136641,73.25,96.25,96.5
0.0007638712066850305,73.25,96.25,96.5
0.0008333140436563968,73.25,96.25,96.5
0.0009027568806277632,73.25,96.25,96.5
0.0009721997175991296,73.25,96.25,96.5
0.001041642554570496,73.25,96.25,96.5
0.0011110853915418625,73.25,96.25,96.5
0.0011805282285132289,73.25,96.25,96.5
0.0012499710654845953,73.25,96.25,96.5
0.0013194139024559617,73.25,96.25,96.5
0.0013888567394273281,73.25,96.25,96.5
0.0014582995763986945,73.25,96.25,96.5
0.001527742413370061,73.25,96.25,96.5
0.0015971852503414274,73.25,96.25,96.5
0.0016666280873127936,73.25,96.25,96.5
0.00173607092428416,73.25,96.25,96.5
0.0018055137612555264,73.25,96.25,96.5
0.0018749565982268928,73.25,96.25,96.5
0.0019443994351982592,73.25,96.25,96.5
0.002013842272169626,73.25,96.25,96.5
0.002083285109140992,73.25,96.25,96.5
0.0021527279461123587,73.25,96.25,96.5
0.002222170783083725,73.25,96.25,96.5
0.002291613620055091,73.25,96.25,96.5
0.0023610564570264577,73.25,96.25,96.5
0.002430499293997824,73.25,96.25,96.5
0.0024999421309691906,73.25,96.25,96.5
0.0025693849679405568,73.25,96.25,96.5
0.0026388278049119234,73.25,96.25,96.5
0.0027082706418832896,73.25,96.25,96.5
0.0027777134788546562,73.25,96.25,96.5
0.0028471563158260224,73.25,96.25,96.5
0.002916599152797389,73.25,96.25,96.5
0.0029860419897687553,73.25,96.25,96.5
0.003055484826740122,73.25,96.25,96.5
0.003124927663711488,73.25,96.25,96.5
0.0031943705006828547,73.25,96.25,96.5
0.003263813337654221,73.25,96.25,96.5
0.003333256174625587,73.25,96.25,96.5
0.0034026990115969538,73.25,96.25,96.5
0.00347214184856832,73.25,96.25,96.5
0.0035415846855396866,73.25,96.25,96.5
0.003611027522511053,73.25,96.25,96.5
0.0036804703594824194,73.25,96.25,96.5
0.0037499131964537856,73.25,96.25,96.5
0.0038193560334251523,73.25,96.25,96.5
0.0038887988703965185,73.25,96.25,96.5
0.003958241707367885,73.25,96.25,96.5
0.004027684544339252,73.25,96.25,96.5
0.0040971273813106175,73.25,96.25,96.5
0.004166570218281984,73.25,96.25,96.5
0.004236013055253351,73.25,96.25,96.5
0.004305455892224717,73.25,96.25,96.5
0.004374898729196083,73.25,96.25,96.5
0.00444434156616745,73.25,96.25,96.5
0.0045137844031388165,73.25,96.25,96.5
0.004583227240110182,73.25,96.25,96.5
0.004652670077081549,73.25,96.25,96.5
0.0047221129140529155,73.25,96.25,96.5
0.004791555751024282,73.25,96.25,96.5
0.004860998587995648,73.25,96.25,96.5
0.0049304414249670145,73.25,96.25,96.5
0.004999884261938381,73.25,96.25,96.5
0.005069327098909748,73.25,96.25,96.5
0.0051387699358811136,73.25,96.25,96.5
0.00520821277285248,73.25,96.25,96.5
0.005277655609823847,73.25,96.25,96.5
0.0053470984467952135,73.25,96.25,96.5
0.005416541283766579,73.25,96.25,96.5
0.005485984120737946,73.25,96.25,96.5
0.0055554269577093125,73.25,96.25,96.5
0.005624869794680678,73.25,96.25,96.5
0.005694312631652045,73.25,96.25,96.5
0.0057637554686234115,73.25,96.25,96.5
0.005833198305594778,73.25,96.25,96.5
0.005902641142566144,73.25,96.25,96.5
0.0059720839795375106,73.25,96.25,96.5
0.006041526816508877,73.25,96.25,96.5
0.006110969653480244,73.25,96.25,96.5
0.00618041249045161,73.25,96.25,96.5
0.006249855327422976,73.25,96.25,96.5
0.006319298164394343,73.25,96.25,96.5
0.0063887410013657095,73.25,96.25,96.5
0.006458183838337075,73.25,96.25,96.5
0.006527626675308442,73.25,96.25,96.5
0.0065970695122798085,73.25,96.25,96.5
0.006666512349251174,73.25,96.25,96.5
0.006735955186222541,73.25,96.25,96.5
0.0068053980231939076,73.25,96.25,96.5
0.006874840860165274,73.25,96.25,96.5
0.00694428369713664,73.25,96.25,96.5
0.007013726534108007,73.25,96.25,96.5
0.007083169371079373,73.25,96.25,96.5
0.00715261220805074,73.25,96.25,96.5
0.007222055045022106,73.25,96.25,96.5
0.007291497881993472,73.25,96.25,96.5
0.007360940718964839,73.25,96.25,96.5
0.0074303835559362055,73.25,96.25,96.5
0.007499826392907571,73.25,96.25,96.5
0.007569269229878938,73.25,96.25,96.5
0.0076387120668503046,73.25,96.25,96.5
0.007708154903821671,73.25,96.25,96.5
0.007777597740793037,73.25,96.25,96.5
0.007847040577764404,73.25,96.25,96.5
0.00791648341473577,73.25,96.25,96.5
0.007985926251707137,73.25,96.25,96.5
0.008055369088678504,73.25,96.25,96.5
0.008124811925649868,73.25,96.25,96.5
0.008194254762621235,73.25,96.25,96.5
0.008263697599592602,73.25,96.25,96.5
0.008333140436563968,73.25,96.25,96.5
0.008402583273535335,73.25,96.25,96.5
0.008472026110506702,73.25,96.25,96.5
0.008541468947478068,73.25,96.25,96.5
0.008610911784449435,73.25,96.25,96.5
0.0086803546214208,73.25,96.25,96.5
0.008749797458392166,73.25,96.25,96.5
0.008819240295363533,73.25,96.25,96.5
0.0088886831323349,73.25,96.25,96.5
0.008958125969306266,73.25,96.25,96.5
0.009027568806277633,73.25,96.25,96.5
0.009097011643249,73.25,96.25,96.5
0.009166454480220364,73.25,96.25,96.5
0.009235897317191731,73.25,96.25,96.5
0.009305340154163098,73.25,96.25,96.5
0.009374782991134464,73.25,96.25,96.5
0.009444225828105831,73.25,96.25,96.5
0.009513668665077198,73.25,96.25,96.5
0.009583111502048564,73.25,96.25,96.5
0.009652554339019931,73.25,96.25,96.5
0.009721997175991296,73.25,96.25,96.5
0.009791440012962662,73.25,96.25,96.5
0.009860882849934029,73.25,96.25,96.5
0.009930325686905396,73.25,96.25,96.5
0.009999768523876762,73.25,96.25,96.5
0.010069211360848129,73.25,96.25,96.5
0.010138654197819496,73.25,96.25,96.5
0.01020809703479086,73.25,96.25,96.5
0.010277539871762227,73.25,96.25,96.5
0.010346982708733594,73.25,96.25,96.5
0.01041642554570496,73.25,96.25,96.5
0.010485868382676327,73.25,96.25,96.5
0.010555311219647694,73.25,96.25,96.5
0.01062475405661906,73.25,96.25,96.5
0.010694196893590427,73.25,96.25,96.5
0.010763639730561792,73.25,96.25,96.5
0.010833082567533158,73.25,96.25,96.5
0.010902525404504525,73.25,96.25,96.5
0.010971968241475892,73.25,96.25,96.5
0.011041411078447258,73.25,96.25,96.5
0.011110853915418625,73.25,96.25,96.5
0.011180296752389992,73.25,96.25,96.5
0.011249739589361357,73.25,96.25,96.5
0.011319182426332723,73.25,96.25,96.5
0.01138862526330409,73.25,96.25,96.5
0.011458068100275456,73.25,96.25,96.5
0.011527510937246823,73.25,96.25,96.5
0.01159695377421819,73.25,96.25,96.5
0.011666396611189556,73.25,96.25,96.5
0.011735839448160923,73.25,96.25,96.5
0.011805282285132288,73.25,96.25,96.5
0.011874725122103654,73.25,96.25,96.5
0.011944167959075021,73.25,96.25,96.5
0.012013610796046388,73.25,96.25,96.5
0.012083053633017754,73.25,96.25,96.5
0.012152496469989121,73.25,96.25,96.5
0.012221939306960488,73.25,96.25,96.5
0.012291382143931853,73.25,96.25,96.5
0.01236082498090322,73.25,96.25,96.5
0.012430267817874586,73.25,96.25,96.5
0.012499710654845952,73.25,96.25,96.5
0.012569153491817319,73.25,96.25,96.5
0.012638596328788686,73.25,96.25,96.5
0.012708039165760052,73.25,96.25,96.5
0.012777482002731419,73.25,96.25,96.5
0.012846924839702784,73.25,96.25,96.5
0.01291636767667415,73.25,96.25,96.5
0.012985810513645517,73.25,96.25,96.5
0.013055253350616884,73.25,96.25,96.5
0.01312469618758825,73.25,96.25,96.5
0.013194139024559617,73.25,96.25,96.5
0.013263581861530984,73.25,96.25,96.5
0.013333024698502349,73.25,96.25,96.5
0.013402467535473715,73.25,96.25,96.5
0.013471910372445082,73.25,96.25,96.5
0.013541353209416448,73.25,96.25,96.5
0.013610796046387815,73.25,96.25,96.5
0.013680238883359182,73.25,96.25,96.5
0.013749681720330548,73.25,96.25,96.5
0.013819124557301915,73.25,96.25,96.5
0.01388856739427328,73.25,96.25,96.5
0.013958010231244647,73.25,96.25,96.5
0.014027453068216013,73.25,96.25,96.5
0.01409689590518738,73.25,96.25,96.5
0.014166338742158746,73.25,96.25,96.5
0.014235781579130113,73.25,96.25,96.5
0.01430522441610148,73.25,96.25,96.5
0.014374667253072846,73.25,96.25,96.5
0.014444110090044211,73.25,96.25,96.5
0.014513552927015578,73.25,96.25,96.5
0.014582995763986945,73.25,96.25,96.5
0.014652438600958311,73.25,96.25,96.5
0.014721881437929678,73.25,96.25,96.5
0.014791324274901044,73.25,96.25,96.5
0.014860767111872411,73.25,96.25,96.5
0.014930209948843776,73.25,96.25,96.5
0.014999652785815143,73.25,96.25,96.5
0.01506909562278651,73.25,96.25,96.5
0.015138538459757876,73.25,96.25,96.5
